City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,Zatoka,46.0725,30.4654,72.39,68,91,7.31,UA,2022-08-01 05:40:12
142,Broome,42.2506,-75.833,68.38,89,0,4.61,US,2022-08-01 05:38:09
143,Raudeberg,61.9875,5.1352,52.47,69,25,3.69,NO,2022-08-01 05:40:13
144,Road Town,18.4167,-64.6167,82.49,77,100,19.71,VG,2022-08-01 05:40:13
145,Komsomolskiy,40.4272,71.7189,88.52,23,12,9.22,UZ,2022-08-01 05:40:14
146,Ponta Do Sol,32.6667,-17.1,70.43,70,10,5.21,PT,2022-08-01 05:38:05
147,Esperance,-33.8667,121.9,60.39,70,85,22.55,AU,2022-08-01 05:37:00
148,Vestmanna,62.1564,-7.1664,49.05,80,77,11.61,FO,2022-08-01 05:40:14
149,Hithadhoo,-0.6,73.0833,81.41,70,94,16.17,MV,2022-08-01 05:40:15
150,Gohana,29.1333,76.7,87.3,69,69,2.93,IN,2022-08-01 05:40:15
151,Bassila,9.0081,1.6654,67.91,98,100,5.5,BJ,2022-08-01 05:40:15
152,Carutapera,-1.195,-46.02,74.75,94,95,5.59,BR,2022-08-01 05:40:16
153,Santa Flavia,38.085,13.5351,80.38,73,0,3.0,IT,2022-08-01 05:40:16
154,Pevek,69.7008,170.3133,55.51,47,0,10.22,RU,2022-08-01 05:40:16
155,Talnakh,69.4865,88.3972,51.21,47,8,24.16,RU,2022-08-01 05:40:17
156,Anaconda,46.1285,-112.9423,67.19,37,3,6.8,US,2022-08-01 05:40:17
157,Siocon,7.7061,122.1353,84.18,76,99,3.83,PH,2022-08-01 05:40:18
158,Qaanaaq,77.484,-69.3632,43.39,67,90,7.25,GL,2022-08-01 05:36:52
159,Ancud,-41.8697,-73.8203,42.22,83,93,1.95,CL,2022-08-01 05:40:18
160,Warrnambool,-38.3833,142.4833,55.45,73,99,19.93,AU,2022-08-01 05:40:18
161,Rudnogorsk,57.2639,103.7519,75.22,55,66,4.5,RU,2022-08-01 05:40:19
162,Syracuse,37.0881,15.2792,79.97,67,0,9.31,IT,2022-08-01 05:40:19
163,Karoi,-16.8099,29.6925,60.21,41,0,7.54,ZW,2022-08-01 05:40:20
164,Strathmore,51.0501,-113.3852,67.41,86,58,11.5,CA,2022-08-01 05:37:41
165,Emerald,-23.5333,148.1667,72.34,57,94,7.11,AU,2022-08-01 05:40:20
166,Maroantsetra,-15.4333,49.7333,70.12,84,66,1.43,MG,2022-08-01 05:40:21
167,Young,-32.6833,-57.6333,47.21,90,10,4.0,UY,2022-08-01 05:40:21
168,Hambantota,6.1241,81.1185,80.94,94,75,11.5,LK,2022-08-01 05:39:20
169,Vila Franca Do Campo,37.7167,-25.4333,70.21,85,2,3.06,PT,2022-08-01 05:40:22
170,Salalah,17.0151,54.0924,77.09,88,75,6.91,OM,2022-08-01 05:36:47
171,Sarkand,45.41,79.9186,84.47,29,42,10.45,KZ,2022-08-01 05:40:22
172,Kyotera,-0.6156,31.5175,72.55,59,46,1.57,UG,2022-08-01 05:40:23
173,Tocache,-8.1842,-76.5125,73.24,75,72,1.1,PE,2022-08-01 05:40:23
174,Talaya,61.3833,152.75,60.49,62,90,17.9,RU,2022-08-01 05:40:23
175,Genhe,50.7833,121.5167,83.91,32,34,9.33,CN,2022-08-01 05:40:24
176,Dikson,73.5069,80.5464,41.34,94,100,13.85,RU,2022-08-01 05:40:24
177,Dukat,62.55,155.55,60.46,52,37,14.54,RU,2022-08-01 05:40:24
178,Solnechnyy,50.7214,136.6319,81.93,62,91,7.67,RU,2022-08-01 05:40:25
179,Bria,6.5423,21.9863,67.98,92,100,2.35,CF,2022-08-01 05:41:25
180,Arraial Do Cabo,-22.9661,-42.0278,67.68,77,0,11.21,BR,2022-08-01 05:39:32
181,Bac Lieu,9.285,105.7244,88.56,63,93,8.95,VN,2022-08-01 05:41:26
182,Boende,-0.2167,20.8667,74.55,77,94,2.26,CD,2022-08-01 05:41:26
183,Cherskiy,68.75,161.3,73.35,31,38,15.19,RU,2022-08-01 05:40:46
184,Lorengau,-2.0226,147.2712,82.89,78,99,10.0,PG,2022-08-01 05:41:27
185,Ostrovnoy,68.0531,39.5131,57.6,74,97,1.14,RU,2022-08-01 05:41:27
186,Georgetown,5.4112,100.3354,89.53,74,20,6.91,MY,2022-08-01 05:38:11
187,Hovd,48.0056,91.6419,77.79,29,100,4.0,MN,2022-08-01 05:41:28
188,Sol-Iletsk,51.1631,54.9918,78.6,42,100,9.08,RU,2022-08-01 05:41:28
189,Waiouru,-39.4833,175.6667,35.2,98,56,3.24,NZ,2022-08-01 05:41:29
190,Half Moon Bay,37.4636,-122.4286,67.87,85,100,14.97,US,2022-08-01 05:37:40
191,Belmonte,-15.8631,-38.8828,70.56,87,10,4.14,BR,2022-08-01 05:41:29
192,San Patricio,28.017,-97.5169,84.09,69,21,11.65,US,2022-08-01 05:41:29
193,Wanning,18.8003,110.3967,89.92,61,22,8.16,CN,2022-08-01 05:41:30
194,Yorosso,12.3536,-4.7761,68.56,95,99,13.02,ML,2022-08-01 05:41:30
195,Mar Del Plata,-38.0023,-57.5575,50.09,90,68,2.3,AR,2022-08-01 05:36:50
196,Jurm,36.8648,70.8342,78.13,34,48,6.49,AF,2022-08-01 05:41:31
197,Kristiinankaupunki,62.2743,21.376,64.8,70,84,11.81,FI,2022-08-01 05:41:31
198,Clyde River,70.4692,-68.5914,37.63,100,100,4.61,CA,2022-08-01 05:39:13
199,Grand Gaube,-20.0064,57.6608,74.37,67,3,5.99,MU,2022-08-01 05:41:32
200,Winton,37.3894,-120.6133,82.31,56,0,6.91,US,2022-08-01 05:41:32
201,Fare,-16.7,-151.0167,78.1,72,31,26.62,PF,2022-08-01 05:37:01
202,Lagoa,39.05,-27.9833,72.27,75,0,7.54,PT,2022-08-01 05:38:16
203,Angoram,-4.0625,144.0661,89.49,56,100,7.16,PG,2022-08-01 05:41:32
204,Kenai,60.5544,-151.2583,60.89,86,0,8.05,US,2022-08-01 05:41:33
205,Dubrovytsya,51.5744,26.565,65.39,85,100,4.29,UA,2022-08-01 05:41:33
206,Nikolskoye,59.7035,30.7861,67.78,59,100,5.7,RU,2022-08-01 05:37:03
207,Tripoli,32.8752,13.1875,82.35,68,0,8.39,LY,2022-08-01 05:41:34
208,Tilichiki,60.4667,166.1,56.55,69,38,8.43,RU,2022-08-01 05:41:34
209,Pacific Grove,36.6177,-121.9166,64.51,86,0,3.44,US,2022-08-01 05:37:00
210,Bosaso,11.2842,49.1816,94.98,34,0,14.97,SO,2022-08-01 05:39:27
211,Asyut,27.181,31.1837,80.78,45,20,12.35,EG,2022-08-01 05:41:35
212,Kisangani,0.5167,25.2,69.19,99,100,1.45,CD,2022-08-01 05:41:35
213,Lompoc,34.6391,-120.4579,74.01,80,0,0.0,US,2022-08-01 05:41:36
214,Mitu,1.1983,-70.1733,69.76,99,99,1.59,CO,2022-08-01 05:41:36
215,Arlit,18.7369,7.3853,87.17,49,46,13.56,NE,2022-08-01 05:41:36
216,Nyurba,63.2842,118.3319,72.05,74,100,3.91,RU,2022-08-01 05:41:37
217,Tsogni,-2.7942,10.0988,70.38,92,88,5.61,GA,2022-08-01 05:41:37
218,Dawson Creek,55.7666,-120.2362,64.04,88,20,5.75,CA,2022-08-01 05:40:28
219,Faya,18.3851,42.4509,72.12,60,76,5.19,SA,2022-08-01 05:41:38
220,Codrington,-38.2667,141.9667,56.08,70,79,17.34,AU,2022-08-01 05:39:26
221,Belaya Gora,68.5333,146.4167,86.34,34,79,8.66,RU,2022-08-01 05:41:38
222,Mincivan,39.0294,46.7185,84.97,44,0,6.04,AZ,2022-08-01 05:41:39
223,Baijiantan,45.6333,85.1833,93.54,19,0,7.02,CN,2022-08-01 05:41:39
224,Shipunovo,52.1582,82.2173,68.36,75,91,9.6,RU,2022-08-01 05:42:39
