City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
116,Codrington,-38.2667,141.9667,56.08,70,79,17.34,AU,2022-08-01 05:39:26,broken clouds
117,General Roca,-39.0333,-67.5833,47.64,60,97,4.47,AR,2022-08-01 05:39:01,overcast clouds
118,Fomboni,-12.28,43.7425,76.86,71,0,13.0,KM,2022-08-01 05:39:27,clear sky
119,Bosaso,11.2842,49.1816,94.98,34,0,14.97,SO,2022-08-01 05:39:27,clear sky
120,Salalah,17.0151,54.0924,77.09,88,75,6.91,OM,2022-08-01 05:36:47,broken clouds
121,Almenara,-16.1836,-40.6944,67.26,96,88,1.77,BR,2022-08-01 05:39:28,light rain
122,Honningsvag,70.9821,25.9704,56.95,77,39,12.66,NO,2022-08-01 05:39:28,scattered clouds
123,Kerema,-7.9631,145.7785,80.82,80,44,5.79,PG,2022-08-01 05:39:28,scattered clouds
124,Rensvik,63.1,7.8167,52.07,82,75,8.05,NO,2022-08-01 05:39:29,broken clouds
125,Mathbaria,22.2876,89.9593,93.02,54,100,9.1,BD,2022-08-01 05:39:29,overcast clouds
126,Bluff,-46.6,168.3333,50.81,77,100,17.87,NZ,2022-08-01 05:37:45,light rain
127,Guerrero Negro,27.9769,-114.0611,72.18,75,65,12.26,MX,2022-08-01 05:38:58,broken clouds
128,Kodiak,57.79,-152.4072,62.11,72,75,0.0,US,2022-08-01 05:39:30,broken clouds
129,Saint-Philippe,-21.3585,55.7679,75.22,68,34,7.83,RE,2022-08-01 05:37:49,scattered clouds
130,Sorong,-0.8833,131.25,83.57,71,22,6.96,ID,2022-08-01 05:39:31,few clouds
131,Chibombo,-14.6569,28.0706,62.56,33,0,8.7,ZM,2022-08-01 05:39:31,clear sky
132,Whitehorse,60.7161,-135.0538,63.37,59,75,8.05,CA,2022-08-01 05:37:38,broken clouds
133,Gimli,50.6336,-96.9907,55.36,80,47,6.78,CA,2022-08-01 05:39:31,scattered clouds
134,Tuatapere,-46.1333,167.6833,46.58,87,100,9.48,NZ,2022-08-01 05:37:50,light rain
135,Ouadda,8.0777,22.4007,67.68,99,100,2.8,CF,2022-08-01 05:39:32,overcast clouds
136,Arraial Do Cabo,-22.9661,-42.0278,67.68,77,0,11.21,BR,2022-08-01 05:39:32,clear sky
137,Saskylakh,71.9167,114.0833,45.23,81,100,8.86,RU,2022-08-01 05:36:25,overcast clouds
138,Butaritari,3.0707,172.7902,82.35,74,69,15.12,KI,2022-08-01 05:37:43,broken clouds
139,Parana,-31.732,-60.5238,54.55,87,2,4.65,AR,2022-08-01 05:40:33,clear sky
140,Khatanga,71.9667,102.5,48.45,62,99,11.05,RU,2022-08-01 05:39:04,overcast clouds
141,Nioki,-2.7167,17.6833,74.73,62,65,3.6,CD,2022-08-01 05:40:33,broken clouds
142,Kahului,20.8947,-156.47,80.62,72,75,14.97,US,2022-08-01 05:38:25,broken clouds
143,Williams Lake,52.1415,-122.1445,76.57,55,40,5.75,CA,2022-08-01 05:40:34,scattered clouds
144,Torbay,47.6666,-52.7314,65.26,85,0,14.97,CA,2022-08-01 05:40:34,clear sky
145,Pevek,69.7008,170.3133,55.51,47,0,10.22,RU,2022-08-01 05:40:16,clear sky
146,Tumarbong,10.3766,119.4579,85.08,73,91,7.29,PH,2022-08-01 05:40:35,overcast clouds
147,Urgut,39.4022,67.2431,76.62,25,58,6.2,UZ,2022-08-01 05:40:35,broken clouds
148,Iqaluit,63.7506,-68.5145,46.13,87,75,0.0,CA,2022-08-01 05:40:35,broken clouds
149,Qaqortoq,60.7167,-46.0333,43.95,95,100,3.2,GL,2022-08-01 05:36:45,overcast clouds
150,Cape Canaveral,28.4058,-80.6048,84.07,77,0,6.91,US,2022-08-01 05:36:03,clear sky
151,Cooma,-36.2333,149.1333,45.75,54,5,11.23,AU,2022-08-01 05:40:36,clear sky
152,Alamogordo,32.8995,-105.9603,85.21,42,0,8.05,US,2022-08-01 05:40:37,clear sky
153,Hobyo,5.3505,48.5268,80.11,70,0,23.06,SO,2022-08-01 05:40:37,clear sky
154,Santiago Del Estero,-27.7951,-64.2615,56.12,34,0,5.01,AR,2022-08-01 05:40:37,clear sky
155,Borgarnes,64.5383,-21.9206,48.25,84,44,6.38,IS,2022-08-01 05:40:38,scattered clouds
156,Norman Wells,65.282,-126.8329,64.44,59,40,8.05,CA,2022-08-01 05:40:38,scattered clouds
157,Williamsburg,37.2707,-76.7075,75.96,96,100,1.99,US,2022-08-01 05:40:38,overcast clouds
158,Tasiilaq,65.6145,-37.6368,41.16,59,4,4.85,GL,2022-08-01 05:36:31,clear sky
159,Neryungri,56.6709,124.6491,72.82,62,100,3.49,RU,2022-08-01 05:40:39,light rain
160,Henties Bay,-22.116,14.2845,53.4,70,94,8.41,NA,2022-08-01 05:40:40,overcast clouds
161,Srednekolymsk,67.45,153.6833,78.78,34,81,12.88,RU,2022-08-01 05:40:40,broken clouds
162,Kavieng,-2.5744,150.7967,84.76,72,74,17.67,PG,2022-08-01 05:37:43,broken clouds
163,Mahebourg,-20.4081,57.7,74.25,83,75,18.41,MU,2022-08-01 05:36:24,broken clouds
164,Cidreira,-30.1811,-50.2056,56.75,92,5,5.59,BR,2022-08-01 05:40:41,clear sky
165,Hay River,60.8156,-115.7999,57.18,67,49,3.44,CA,2022-08-01 05:40:41,scattered clouds
166,Praia,14.9215,-23.5087,75.74,78,40,10.36,CV,2022-08-01 05:40:12,scattered clouds
167,Talara,-4.5772,-81.2719,63.12,84,40,13.2,PE,2022-08-01 05:40:41,scattered clouds
168,Ancud,-41.8697,-73.8203,42.22,83,93,1.95,CL,2022-08-01 05:40:18,overcast clouds
169,Marquette,46.5333,-87.6335,69.33,68,73,10.92,US,2022-08-01 05:40:42,broken clouds
170,Pisco,-13.7,-76.2167,60.85,82,100,3.44,PE,2022-08-01 05:40:42,overcast clouds
171,Chokurdakh,70.6333,147.9167,80.51,37,95,11.61,RU,2022-08-01 05:38:57,overcast clouds
172,Alta Floresta,-9.8756,-56.0861,74.32,42,67,3.02,BR,2022-08-01 05:40:43,broken clouds
173,Leningradskiy,69.3833,178.4167,49.66,67,48,9.51,RU,2022-08-01 05:40:43,scattered clouds
174,Severo-Kurilsk,50.6789,156.125,55.89,73,33,6.58,RU,2022-08-01 05:39:06,scattered clouds
175,Mattru,7.6244,-11.8332,73.11,93,100,2.13,SL,2022-08-01 05:40:44,overcast clouds
176,Puerto Ayora,-0.7393,-90.3518,68.56,97,95,1.99,EC,2022-08-01 05:36:36,light rain
177,Adrar,20.5022,-10.0711,86.67,46,39,21.34,MR,2022-08-01 05:40:44,scattered clouds
178,Lillooet,50.6856,-121.942,75.2,49,27,5.26,CA,2022-08-01 05:40:45,scattered clouds
179,Yerbogachen,61.2767,108.0108,81.19,44,49,3.96,RU,2022-08-01 05:40:45,scattered clouds
180,Coquimbo,-29.9533,-71.3436,49.73,100,0,4.61,CL,2022-08-01 05:36:39,clear sky
181,Cherskiy,68.75,161.3,73.35,31,38,15.19,RU,2022-08-01 05:40:46,scattered clouds
182,Victoria,22.2855,114.1577,94.24,65,85,8.01,HK,2022-08-01 05:39:26,overcast clouds
183,Whitefish,48.4111,-114.3376,70.41,49,0,0.0,US,2022-08-01 05:41:46,clear sky
184,Nizwa,22.9333,57.5333,87.39,55,75,2.82,OM,2022-08-01 05:41:46,broken clouds
185,Saint-Augustin,51.226,-58.6502,64.06,70,96,7.18,CA,2022-08-01 05:36:25,overcast clouds
186,Korla,41.7597,86.1469,90.55,25,67,10.0,CN,2022-08-01 05:41:47,broken clouds
187,Bilibino,68.0546,166.4372,66.65,38,80,7.83,RU,2022-08-01 05:41:47,broken clouds
188,Fort Nelson,58.8053,-122.7002,63.99,77,100,2.3,CA,2022-08-01 05:41:48,light intensity shower rain
189,Kenai,60.5544,-151.2583,60.89,86,0,8.05,US,2022-08-01 05:41:33,clear sky
190,Fuerte,17.5381,120.3644,82.54,80,100,10.11,PH,2022-08-01 05:41:48,overcast clouds
191,Obo,5.3998,26.4869,69.24,95,95,3.51,CF,2022-08-01 05:41:48,overcast clouds
192,Anton Lizardo,19.05,-95.9833,77.22,83,70,2.15,MX,2022-08-01 05:41:49,broken clouds
193,Hamilton,39.1834,-84.5333,70.65,94,0,3.44,US,2022-08-01 05:39:30,mist
194,Cam Ranh,11.9214,109.1591,89.56,62,0,10.36,VN,2022-08-01 05:41:49,moderate rain
195,Shimoda,34.6667,138.95,92.1,73,61,14.05,JP,2022-08-01 05:41:50,broken clouds
196,Severnyy,50.677,36.5532,68.04,52,0,11.18,RU,2022-08-01 05:41:50,clear sky
197,Karema,-6.8205,30.4389,77.11,48,53,7.23,TZ,2022-08-01 05:41:50,broken clouds
198,Tautira,-17.7333,-149.15,76.68,74,55,25.26,PF,2022-08-01 05:41:51,light rain
199,Drezdenko,52.8383,15.8308,63.57,82,100,4.18,PL,2022-08-01 05:41:51,overcast clouds
200,Laguna De Perlas,12.3429,-83.6712,77.59,90,99,11.56,NI,2022-08-01 05:41:52,overcast clouds
201,Sao Joao Da Barra,-21.6403,-41.0511,65.75,80,0,3.87,BR,2022-08-01 05:37:47,clear sky
202,Kaitangata,-46.2817,169.8464,44.51,75,100,5.82,NZ,2022-08-01 05:41:52,overcast clouds
203,Puerto Maldonado,-12.6,-69.1833,72.32,77,70,1.1,PE,2022-08-01 05:41:52,broken clouds
204,Rawson,-43.3002,-65.1023,45.39,81,100,8.84,AR,2022-08-01 05:41:53,overcast clouds
205,Clyde River,70.4692,-68.5914,37.63,100,100,4.61,CA,2022-08-01 05:39:13,overcast clouds
206,Thompson,55.7435,-97.8558,48.36,100,75,0.0,CA,2022-08-01 05:41:53,mist
207,Alice,27.7523,-98.0697,81.97,76,0,10.36,US,2022-08-01 05:41:54,clear sky
208,Coro,11.4045,-69.6734,78.75,85,39,15.21,VE,2022-08-01 05:41:54,scattered clouds
209,Isangel,-19.55,169.2667,74.64,85,71,15.59,VU,2022-08-01 05:41:54,broken clouds
210,Zhigansk,66.7697,123.3711,64.54,78,53,19.98,RU,2022-08-01 05:41:55,light rain
211,Westport,41.1415,-73.3579,77.04,91,40,1.01,US,2022-08-01 05:38:05,moderate rain
212,Kiunga,-6.1219,141.2906,83.3,75,100,1.95,PG,2022-08-01 05:41:55,overcast clouds
213,Hithadhoo,-0.6,73.0833,81.41,70,94,16.17,MV,2022-08-01 05:40:15,overcast clouds
214,Gizo,-8.103,156.8419,84.51,69,6,5.1,SB,2022-08-01 05:41:56,light rain
215,Lasa,46.6166,10.7002,61.68,69,0,3.56,IT,2022-08-01 05:37:53,clear sky
216,Muroto,33.2833,134.15,84.11,78,30,8.55,JP,2022-08-01 05:41:56,scattered clouds
217,Acajutla,13.5928,-89.8275,79.45,79,92,7.23,SV,2022-08-01 05:41:57,overcast clouds
218,Jiangyou,31.7667,104.7167,85.48,66,92,2.62,CN,2022-08-01 05:41:57,overcast clouds
219,Lohja,60.2486,24.0653,68.18,62,8,3.87,FI,2022-08-01 05:41:57,clear sky
220,Karratha,-20.7377,116.8463,78.31,58,19,15.86,AU,2022-08-01 05:37:40,few clouds
221,Bathsheba,13.2167,-59.5167,81.21,89,40,19.57,BB,2022-08-01 05:41:58,scattered clouds
222,Barrow,71.2906,-156.7887,33.82,93,100,10.36,US,2022-08-01 05:38:56,overcast clouds
223,Tawang,27.5833,91.8667,60.13,93,100,2.39,IN,2022-08-01 05:41:58,overcast clouds
224,Eseka,3.65,10.7667,69.8,99,95,0.87,CM,2022-08-01 05:41:59,overcast clouds
225,Taybad,34.74,60.7756,89.56,18,1,17.11,IR,2022-08-01 05:41:59,clear sky
226,Paamiut,61.994,-49.6678,44.94,89,100,4.97,GL,2022-08-01 05:41:59,overcast clouds
227,Pavlivka,49.4414,28.4596,70.48,59,100,8.86,UA,2022-08-01 05:42:00,overcast clouds
228,Bambanglipuro,-7.95,110.2833,83.52,65,31,8.9,ID,2022-08-01 05:42:00,scattered clouds
229,Airai,-8.9266,125.4092,72.1,57,66,3.13,TL,2022-08-01 05:42:00,broken clouds
230,Axim,4.8699,-2.2405,74.14,81,100,12.48,GH,2022-08-01 05:42:01,overcast clouds
231,Nenjiang,49.1833,125.2167,86.16,50,65,2.75,CN,2022-08-01 05:42:01,broken clouds
232,East London,-33.0153,27.9116,49.14,66,0,6.91,ZA,2022-08-01 05:36:39,clear sky
233,Belmonte,-15.8631,-38.8828,70.56,87,10,4.14,BR,2022-08-01 05:41:29,clear sky
234,Champerico,14.3,-91.9167,77.16,81,100,1.41,GT,2022-08-01 05:43:02,overcast clouds
235,Dikson,73.5069,80.5464,41.34,94,100,13.85,RU,2022-08-01 05:40:24,overcast clouds
236,Tashtyp,52.7939,89.8983,82.9,34,93,1.68,RU,2022-08-01 05:43:02,overcast clouds
237,Katsuura,35.1333,140.3,87.1,72,87,17.29,JP,2022-08-01 05:39:20,overcast clouds
238,Aksarka,66.5606,67.7975,64.09,45,27,7.63,RU,2022-08-01 05:43:03,scattered clouds
239,Ostersund,63.1792,14.6357,57.61,100,75,9.22,SE,2022-08-01 05:43:03,broken clouds
240,Okha,53.5739,142.9478,62.91,66,39,19.95,RU,2022-08-01 05:43:04,scattered clouds
241,Fiche,9.8,38.7333,50.63,92,100,3.06,ET,2022-08-01 05:43:04,moderate rain
242,Lipany,49.1538,20.9638,65.05,85,100,2.66,SK,2022-08-01 05:43:04,overcast clouds
243,Ketchikan,55.3422,-131.6461,61.27,77,75,11.5,US,2022-08-01 05:43:05,broken clouds
244,Changli,39.7042,119.1506,91.31,55,0,1.9,CN,2022-08-01 05:43:05,clear sky
245,Tingi,-11.3,35.0333,64.98,63,4,4.47,TZ,2022-08-01 05:43:05,clear sky
246,Road Town,18.4167,-64.6167,82.49,77,100,19.71,VG,2022-08-01 05:40:13,overcast clouds
